BV2022,Bassin de vie,salair_moy,tx_pauvrete
01004,Ambérieu-en-Bugey,14.97,11.1
01033,Valserhône,14.04,13
01034,Belley,14.03,12.5
01053,Bourg-en-Bresse,14.55,14.8
01072,Ceyzériat,15.4,7.4
01093,Châtillon-sur-Chalaronne,14.9,8
01138,Culoz-Béon,14.59,10.5
01143,Divonne-les-Bains,19.35,7.8
01160,Ferney-Voltaire,15.08,17.8
01173,Gex,14.66,9.4
01185,Plateau d'Hauteville,13.78,12.2
01202,Lagnieu,15.39,7.9
01244,Meximieux,17.46,6.2
01262,Montluel,16.66,8.2
01265,Montréal-la-Cluse,14.48,13.6
01266,Montrevel-en-Bresse,14.09,7.3
01283,Oyonnax,14.05,19.2
01304,Pont-d'Ain,15.07,10.2
01305,Pont-de-Vaux,13.85,9.7
01333,Saint-André-de-Corcy,17.14,5
01354,Saint-Genis-Pouilly,15.22,13.2
01443,Villars-les-Dombes,15.65,7.6
01457,Vonnas,14.08,8.5
02095,Bohain-en-Vermandois,13.18,23.2
02163,Charly-sur-Marne,14.49,12.5
02168,Château-Thierry,14.3,15.7
02173,Chauny,14.17,17.8
02305,Fère-en-Tardenois,13.58,16.9
02360,Villeneuve-sur-Aisne,14.64,8.3
02361,Guise,13.73,21.9
02381,Hirson,12.75,25.9
02408,Laon,13.41,18.6
02468,Marle,13.3,21.1
02502,Montcornet,12.76,21.2
02558,Le Nouvion-en-Thiérache,13.78,20.1
02691,Saint-Quentin,14.17,21.4
02722,Soissons,14,18.4
02738,Tergnier,13.46,20.1
02789,Vervins,13.49,21.5
02810,Villers-Cotterêts,14.83,11.9
03036,Bourbon-l'Archambault,12.59,18.6
03082,Commentry,13.92,15.9
03102,Dompierre-sur-Besbre,13.09,13.9
03118,Gannat,14.08,12.6
03138,Lapalisse,12.47,19.9
03185,Montluçon,13.52,17.8
03186,Montmarault,13.25,19.3
03190,Moulins,13.39,14.7
03254,Saint-Pourçain-sur-Sioule,13.69,13.1
03298,Varennes-sur-Allier,13.01,15
03310,Vichy,14.21,16.1
04019,Barcelonnette,12.82,16.3
04049,Château-Arnoux-Saint-Auban,13.91,15.4
04070,Digne-les-Bains,13.09,16.5
04088,Forcalquier,13.82,18.6
04094,Gréoux-les-Bains,15.08,13.6
04112,Manosque,15.14,16.2
04143,Oraison,14.56,13.8
04166,Riez,13.45,19.2
04173,Saint-André-les-Alpes,13.12,21.2
04209,Sisteron,14.32,16.7
05006,L'Argentière-la-Bessée,14.05,16.5
05023,Briançon,13.87,14.1
05040,Chorges,13.53,14.2
05046,Embrun,13.48,14.3
05061,Gap,13.56,14.2
05065,Guillestre,13.33,15
05070,Laragne-Montéglin,13.48,17.2
05132,Saint-Bonnet-en-Champsaur,13.27,15.2
05170,Tallard,13.72,13.3
05179,Veynes,12.56,20.1
06029,Cannes,17.28,14.9
06033,Carros,15.23,12.7
06048,Contes,14.89,10.3
06083,Menton,14.26,16.1
06088,Nice,15.92,18
06099,Puget-Théniers,13.88,19.5
07010,Annonay,14.22,13
07019,Aubenas,13.16,17.3
07042,Bourg-Saint-Andéol,15.28,18
07064,Le Cheylard,13.52,14.8
07110,Joyeuse,12.51,22
07129,Lamastre,12.94,19.3
07132,Largentière,12.82,20.5
07186,Privas,14.05,14
07201,Ruoms,12.79,15
07324,Tournon-sur-Rhône,14.98,12.1
07330,Vallon-Pont-d'Arc,13.12,16.4
07334,Les Vans,12.96,22.6
07338,Vernoux-en-Vivarais,13.09,20.7
07341,Villeneuve-de-Berg,13.6,15.6
07349,La Voulte-sur-Rhône,14.36,12
08090,Carignan,13.28,20.9
08105,Charleville-Mézières,13.99,20.3
08185,Fumay,13,21.1
08190,Givet,16.04,19.8
08302,Monthermé,13.49,18
08328,Nouzonville,13.07,22.5
08362,Rethel,14.08,14.1
08363,Revin,13.24,21.4
08409,Sedan,13.61,20.7
08490,Vouziers,13.19,17.3
09122,Foix,13.6,18.7
09160,Lavelanet,12.55,22.1
09167,Lézat-sur-Lèze,14.63,15.4
09185,Mazères,14.26,13
09194,Mirepoix,13.39,20.3
09225,Pamiers,13.46,16
09261,Saint-Girons,13.13,23.5
09282,Saverdun,13.82,13.5
09306,Tarascon-sur-Ariège,13.41,18.5
10003,Aix-Villemaur-Pâlis,13.63,13.6
10006,Arcis-sur-Aube,13.53,11.9
10033,Bar-sur-Aube,12.96,16.1
10034,Bar-sur-Seine,13.16,14.4
10064,Brienne-le-Château,13.5,13
10268,Nogent-sur-Seine,15.33,13.5
10323,Romilly-sur-Seine,13.59,18.4
10387,Troyes,14.18,17.8
11049,Bram,13.15,17.4
11069,Carcassonne,13.27,21.4
11076,Castelnaudary,13.31,16.3
11106,Coursan,13.32,17.3
11203,Lézignan-Corbières,13.07,21.5
11206,Limoux,12.84,20.4
11262,Narbonne,13.69,21
11266,Port-la-Nouvelle,12.67,23.1
11304,Quillan,12.52,29.6
11379,Sigean,13.77,19
11397,Trèbes,12.59,21.2
12052,Capdenac-Gare,13.5,13.2
12056,Baraqueville,13.58,10.1
12089,Decazeville,12.64,18.3
12096,Espalion,13.1,13.6
12119,Laguiole,12.32,19.1
12120,Laissac-Sévérac l'Église,12.9,12.9
12133,Luc-la-Primaube,13.8,10.7
12138,Marcillac-Vallon,14.12,11.3
12145,Millau,13.12,15.2
12148,Montbazens,13.24,13.2
12169,Naucelle,13.45,15.3
12197,Réquista,12.99,20.7
12198,Rieupeyroux,13.02,18.2
12199,Rignac,13.57,10.6
12202,Rodez,14.21,12.3
12208,Saint-Affrique,13.09,16.4
12224,Saint Geniez d'Olt et d'Aubrac,13.03,16.8
12270,Sévérac d'Aveyron,12.85,14.1
12300,Villefranche-de-Rouergue,13.17,16.7
13001,Aix-en-Provence,18.28,11.9
13004,Arles,14.32,22.8
13022,Cassis,18.64,9.2
13035,Eyguières,17.49,10.1
13037,La Fare-les-Oliviers,17.66,7.3
13047,Istres,15.77,13.2
13050,Lambesc,18.85,9.2
13051,Lançon-Provence,17.86,7.3
13053,Mallemort,16.78,10.1
13054,Marignane,15.03,15.5
13055,Marseille,15.86,22.9
13056,Martigues,15.99,18.2
13063,Miramas,14.78,19
13074,Peyrolles-en-Provence,16.48,9.5
13078,Port-Saint-Louis-du-Rhône,16.47,21.2
13080,Le Puy-Sainte-Réparade,17.57,9.1
13084,La Roque-d'Anthéron,15.29,14
13088,Le Rove,19.4,8.8
13096,Saintes-Maries-de-la-Mer,12.7,20.8
13097,Saint-Martin-de-Crau,16.05,11.6
13100,Saint-Rémy-de-Provence,16.08,16.2
13103,Salon-de-Provence,16.61,14.2
13104,Sausset-les-Pins,22.31,6.3
13105,Sénas,15.29,13
14020,Argences,13.94,9.1
14027,Les Monts d'Aunay,13.59,12.3
14047,Bayeux,14.17,10.4
14118,Caen,14.73,14.1
14174,Condé-en-Normandie,13.42,13.6
14191,Courseulles-sur-Mer,15.03,7.5
14225,Dives-sur-Mer,14.36,12.7
14228,Douvres-la-Délivrande,17.31,6.5
14257,Évrecy,15.5,5
14258,Falaise,13.53,11.7
14333,Honfleur,15.69,11.6
14342,Isigny-sur-Mer,13.41,15.7
14366,Lisieux,13.75,14.3
14371,Livarot-Pays-d'Auge,13.62,16.6
14431,Mézidon Vallée d'Auge,13.47,13.4
14478,Orbec,13.61,16
14488,Ouistreham,16.12,8.2
14514,Pont-l'Évêque,15.13,10.5
14654,Saint-Pierre-en-Auge,13.1,13
14689,Thury-Harcourt-le-Hom,14.12,9.4
14712,Troarn,14.57,7.3
14715,Trouville-sur-Mer,15.53,14.1
14752,Villers-Bocage,13.8,9.9
14762,Vire Normandie,13.1,14.1
15014,Aurillac,13.1,12.3
15119,Massiac,12.66,18.1
15120,Mauriac,12.3,17.3
15122,Maurs,12.89,16.9
15138,Murat,12.62,17.6
15162,Riom-ès-Montagnes,12.5,18.2
15187,Saint-Flour,12.3,14.5
15258,Vic-sur-Cère,12.29,12.1
16015,Angoulême,14.32,16.4
16028,Barbezieux-Saint-Hilaire,13.67,14.6
16070,Chabanais,13.32,17.7
16073,Chalais,12.29,20.2
16078,Champniers,14.45,7.9
16085,Chasseneuil-sur-Bonnieure,12.73,18.9
16090,Châteauneuf-sur-Charente,13.77,11.2
16102,Cognac,15.82,12
16106,Confolens,12.94,22.5
16167,Jarnac,14.62,10.7
16206,Mansle-les-Fontaines,13.13,16.7
