Code Postal / CEDEX,Code INSEE,Nom de la commune
90360,90078,Petitefontaine
93430,93079,Villetaneuse
94000,94028,Créteil
14170,14476,Olendon
14230,14481,LES OUBEAUX
42360,42148,Montchal
42510,42226,Saint-Georges-de-Baroille
43380,43044,Cerzat
43230,43075,Collat
43200,43102,Grazac
52700,52407,Prez-sous-Lafauche
53540,53088,Cuillé
85140,85246,Saint-Martin-des-Noyers
85210,85248,Saint-Martin-Lars-en-Sainte-Hermine
85770,85299,VELLUIRE
86430,86011,Asnières-sur-Blour
86310,86223,Saint-Germain
86200,86252,Sammarçolles
86110,86271,Thurageau
98726,98752,TEVA I UTA
98735,98758,UTUROA
98880,98813,LA FOA
15250,15083,Jussac
15350,15206,Saint-Pierre
16390,16260,Pillac
44260,44019,Bouée
44160,44050,Crossac
44390,44138,Puceul
54130,54165,Dommartemont
87160,87074,Les Grands-Chézeaux
88300,88019,Autigny-la-Tour
88500,88056,Bettoncourt
20134,NA,Palneca
20275,NA,Ersa
16110,16379,Taponnat-Fleurignac
17290,17003,Aigrefeuille-d'Aunis
17130,17081,Chamouillac
45160,45232,Olivet
46150,46171,Lherm
55700,55036,Beauclair
88270,88288,Maroncourt
88410,88377,Regnévelle
88170,88440,Sandaucourt
49280,49299,Saint-Léger-sous-Cholet
50630,50022,Aumeville-Lestre
50300,50205,La Godefroy
17160,17428,Sonnac
17780,17429,Soubise
18120,18128,Limeux
08150,08026,Aubigny-les-Pothées
08000,08040,Les Ayvelles
46210,46282,Saint-Médard-Nicourby
31570,31512,Saint-Pierre-de-Lages
89310,89207,Jouancy
89570,89219,Lasson
89710,89384,Senan
89710,89484,VOLGRE
91410,91145,Chatignonville
91720,91359,Maisse
51320,51099,Bussy-Lettrée
51800,51139,Chaudefontaine
08130,08387,Saint-Loup-Terrier
08430,08478,Villers-le-Tilleul
48150,48176,Saint-Pierre-des-Tripiers
51310,51233,Escardes
51120,51313,Lachy
32290,32403,Saint-Pierre-d'Aubézies
33240,33018,Val de Virvée
91530,91630,Le Val-Saint-Germain
94170,94058,Le Perreux-sur-Marne
51400,51203,Cuperly
51120,51258,La Forestière
51700,51414,Olizy
51130,51499,Saint-Mard-lès-Rouffy
51800,51543,Somme-Bionne
09420,09097,Clermont
09420,09164,Lescure
10210,10028,Balnot-la-Grange
10190,10096,Chennegy
51300,51649,Vitry-le-François
52300,52199,Ferrière-et-Lafolie
33110,33069,Le Bouscat
33230,33138,Coutras
33210,33237,Léogeats
33370,33330,Pompignac
40360,40090,Donzacq
10400,10284,Périgny-la-Rose
10200,10377,Thil
10700,10400,Vaupoisson
10210,10443,Vougrey
25440,25126,Charnay
52330,52262,LAMOTHE EN BLAISY
53340,53019,Bannes
53230,53075,Cosmes
53200,53089,Daon
53190,53093,La Dorée
12720,12211,Saint-André-de-Vézines
12200,12242,Saint-Rémy
41150,41055,Valloire-sur-Cisse
41400,41146,Monthou-sur-Cher
41120,41170,OUCHAMPS
42210,42020,Boisset-lès-Montrond
42600,42105,Grézieux-le-Fromental
42800,42186,Rive-de-Gier
25580,25211,Échevannes
25680,25277,Gondenans-les-Moulins
25820,25323,Laissey
25360,25590,Vaudrivillers
53170,53193,Ruillé-Froid-Fonds
54110,54104,Buissoncourt
14190,14268,FIERVILLE BRAY
09500,09089,Cazals-des-Baylès
09400,09133,Génat
09500,09314,Tourtrol
10600,10030,Barberey-Saint-Sulpice
10140,10062,Briel-sur-Barse
10110,10136,Éguilly-sous-Bois
42430,42282,Saint-Romain-d'Urfé
43210,43020,Bas-en-Basset
43200,43150,Le Pertuis
43360,43191,Saint-Géron
26770,26003,Aleyrac
26750,26087,Châtillon-Saint-Jean
26510,26227,Pelonne
27420,27026,Authevernes
02110,02618,Prémont
02360,02634,Raillimont
02160,02764,Vassogne
14240,14695,TORTEVAL QUESNAY
10210,10188,Lantages
10140,10217,Maison-des-Champs
10270,10255,Montreuil-sur-Barse
11150,11049,Bram
11510,11143,Feuilla
44330,44108,Mouzillon
44540,44191,ST SULPICE DES LANDES
45320,45136,Ervauville
27220,27419,Mouettes
03430,03312,Vieure
05300,05014,Barret-sur-Méouge
16300,16010,Ambleville
75003,75103,PARIS 03
76480,76056,Bardouville
76110,76076,Bénarville
12260,12018,Balaguier-d'Olt
12240,12021,Le Bas Ségala
12550,12035,Brasc
12330,12138,Marcillac-Vallon
57690,57190,Elvange
57120,57591,Rombas
02310,02653,Romeny-sur-Marne
02600,02822,Vivières
03200,03001,Abrest
05200,05156,Saint-Sauveur
06500,06035,Castellar
06440,06142,Touët-de-l'Escarène
07440,07007,Alboussière
07470,07119,Le Lac-d'Issarlès
07380,07223,Saint-Cirgues-de-Prades
76190,76348,Hautot-Saint-Sulpice
76440,76432,Mesnil-Mauger
76450,76490,Ourville-en-Caux
24350,24069,Bussac
24250,24150,Daglan
58210,58093,Cuncy-lès-Varzy
58270,58119,Frasnay-Reugny
04510,04001,Aiglun
04340,04102,Le Lauzet-Ubaye
04170,04133,Moriez
04230,04178,Saint-Étienne-les-Orgues
04300,04188,Saint-Maime
05150,05091,Moydans
07210,07298,Saint-Symphorien-sous-Chomérac
11230,11249,Montjardin
11250,11344,Saint-Hilaire
76390,76606,Morienne
76440,76623,Saint-Michel-d'Halescourt
77390,77145,Crisenoy
77520,77263,Luisetaines
24210,24241,Limeyrat
06710,06139,Thiéry
06470,06160,Villeneuve-d'Entraunes
07380,07107,Jaujac
07210,07194,Rochessauve
13490,13048,Jouques
13103,13094,Saint-Étienne-du-Grès
77760,77395,Rumont
40630,40319,Trensacq
25240,25142,Chaux-Neuve
25450,25193,Damprichard
25200,25284,Grand-Charmont
25160,25362,Malpas
25220,25429,Novillars
25320,25564,Torpes
33113,33484,Saint-Symphorien
34270,34102,Fontanès
34790,34116,Grabels
22970,22225,Ploumagoar
22450,22264,La Roche-Jaudy
22170,22304,Saint-Jean-Kerdaniel
14700,14087,Bonnœil
14760,14101,Bretteville-sur-Odon
14490,14130,Campigny
14800,14131,Canapville
14340,14398,Manerbe
42560,42060,Chenereilles
42740,42308,La Terrasse-sur-Dorlay
42520,42326,Véranne
34130,34176,Mudaison
34600,34216,Le Pradal
34820,34309,Teyran
35460,35011,BAILLE
35290,35091,Le Crouais
35330,35175,Mernel
35740,35210,Pacé
23200,23228,Saint-Pardoux-le-Neuf
23460,23232,Saint-Pierre-Bellevue
24390,24113,La Chapelle-Saint-Jean
24550,24337,Prats-du-Périgord
14120,14437,Mondeville
43120,43058,La Chapelle-d'Aurec
43380,43195,Saint-Ilpize
21460,21640,Torcy-et-Pouligny
36120,36005,Ardentes
36170,36047,La Châtre-Langlin
36100,36140,Neuvy-Pailloux
37330,37037,Brèches
37390,37059,Charentilly
37120,37087,Courcoué
24260,24389,ST CIRQ
24210,24550,Thenon
24620,24559,Tursac
11600,11205,Limousis
22130,22200,Pléven
22390,22271,Saint-Adrien
23170,23035,Budelière
23240,23095,Le Grand-Bourg
46400,46011,Autoire
46230,46070,Cieurac
22450,22090,Kermaria-Sulard
22600,22155,La Motte
30630,30230,Saint-André-de-Roquepertuis
31150,31091,Bruguières
12340,12106,Gabriac
12220,12134,Lugan
12200,12159,Morlhon-le-Haut
12640,12200,Rivière-sur-Tarn
47370,47036,Bourlens
13700,13054,Marignane
14130,14185,COUDRAY RABUT
14170,14190,Courcy
31560,31354,Monestrol
31260,31391,Montsaunès
31160,31550,Soueich
32230,32111,Courties
32230,32174,Ladevèze-Rivière
32400,32192,Lannux
13710,13040,Fuveau
14230,14298,Géfosse-Fontenay
24460,24540,Sorges et Ligueux en Périgord
25290,25106,Cademène
32260,32327,Pouy-Loubrin
32190,32382,Saint-Jean-Poutge
48700,48145,Saint-Denis-en-Margeride
49500,49136,LA FERRIERE DE FLEE
49220,49155,Grez-Neuville
49710,49301,Sèvremoine
14170,14497,Perrières
14140,14616,STE MARGUERITE DE VIETTE
32400,32333,Projan
32380,32385,Saint-Léonard
32130,32432,Seysses-Savès
32450,32447,Tirent-Pontéjac
33350,33153,Doulezon
33540,33189,Gornac
18140,18220,Saint-Léger-le-Petit
18220,18253,Soulangis
18570,18267,Trouy
19340,19080,Eygurande
19250,19130,Maussac
21380,21027,Asnières-lès-Dijon
33220,33160,Eynesse
33850,33238,Léognan
33190,33331,Pondaurat
33660,33347,Puynormand
33141,33364,Saillans
33190,33428,Saint-Laurent-du-Plan
55150,55461,Saint-Laurent-sur-Othain
55320,55492,Sommedieue
55500,55562,Villers-le-Sec
16200,16088,Chassors
04230,04101,Lardiers
04700,04143,Oraison
04170,04236,Vergons
04130,04245,Volx
38730,38089,Chassignieu
38140,38270,La Murette
21500,21212,Crépand
21150,21226,Darcey
21121,21227,Darois
21270,21256,Étevaux
21440,21338,Lamargelle
21310,21459,Noiron-sur-Bèze
21140,21497,Pont-et-Massène
34630,34289,Saint-Thibéry
56310,56188,Quistinic
57460,57058,Behren-lès-Forbach
57800,57144,Cocheren
05190,05121,Rochebrune
07800,07027,Beauchastel
07190,07030,Beauvène
07150,07033,Bessas
01102,01283,Oyonnax
01152,01390,Saint-Vulbas
01208,01091,BELLEGARDE SUR VALSERINE CEDEX
01212,01160,Ferney-Voltaire
02007,02046,Barenton-Bugny
02013,02408,Laon
02017,02408,Laon
06005,06088,Nice
06008,06088,Nice
06106,06088,Nice
06285,06088,Nice
06513,06033,Carros
06532,06095,Peymeinade
06901,06004,Antibes
07134,07281,Saint-Péray
08003,08497,Warcq
08304,08362,Rethel
09001,09327,Ventenac
09004,09122,Foix
09004,09138,L'Herm
09201,09261,Saint-Girons
10006,10387,Troyes
10007,10104,Cormost
10042,10387,Troyes
10088,10387,Troyes
10121,10333,Saint-André-les-Vergers
10154,10115,Creney-près-Troyes
11201,11203,Lézignan-Corbières
11301,11206,Limoux
